57.0	20.0	3.0	0.8	1.8	56.0	16.0	0.7	1.2	31.0	44.0	22.0	19.0	5.5	7.4	9.3	8.5	8.8	3.6	2.8	3.6	4.8	2.3	2.3	2.6	31.0	54.0	38.0	62.0	71.0	56.0	77.0	13.0	72.0	13.0	42.0	33.0	27.0	29.0	23.0	15.0	3.9	161.0	
36.0	18.0	4.8	0.8	1.3	50.9	14.41	0.76	1.21	46.0	28.0	14.0	18.2	4.8	5.3	5.6	4.5	4.9	2.4	1.7	1.9	2.9	1.5	1.6	1.6	25.0	43.0	28.0	53.0	62.0	62.0	55.0	8.0	64.0	12.0	39.0	33.0	17.0	13.0	10.0	10.0	2.7	148.0	
41.0	19.0	5.0	0.75	1.5	55.0	16.0	0.7	1.5	40.0	32.8	14.5	9.5	2.1	5.4	5.4	4.9	5.2	2.3	1.7	1.9	3.0	1.3	1.3	1.7	25.0	43.0	27.0	44.0	48.0	49.0	57.0	12.0	50.0	10.0	59.0	53.0	22.0	19.0	12.0	7.0	2.6	148.0	
65.25	28.91	6.24	0.87	5.71	50.9	14.41	0.76	1.21	32.0	34.0	14.0	9.1	1.9	4.2	5.5	5.1	5.2	2.3	1.9	2.4	2.8	1.5	1.8	1.9	22.0	36.0	31.0	49.0	46.0	53.0	53.0	7.2	49.0	12.0	40.0	35.0	25.0	11.0	9.0	6.0	2.2	148.0	
90.0	39.0	9.1	0.76	5.71	50.9	14.41	0.76	1.21	38.39	70.0	36.0	24.37	7.27	13.0	15.0	12.0	12.0	4.7	3.0	5.0	6.1	2.8	2.7	3.1	29.0	42.0	29.0	43.0	50.0	59.0	90.0	17.0	94.0	17.0	68.0	43.0	23.0	35.0	29.0	11.0	6.0	135.0	
42.0	28.91	6.24	0.87	5.71	50.9	14.41	0.76	1.21	38.39	29.0	16.0	9.2	2.4	9.6	4.7	4.6	5.0	1.9	1.5	1.6	2.4	1.6	1.6	1.3	24.0	49.0	33.0	53.0	57.0	54.0	59.0	14.0	43.0	9.0	55.0	51.0	29.0	13.0	9.0	6.8	2.0	135.0	
49.8	23.1	4.2	0.82	1.63	50.9	14.41	0.76	1.21	38.39	32.2	18.7	24.37	7.27	6.9	7.2	5.6	6.8	3.3	2.4	3.0	4.1	2.2	2.2	2.82	25.2	44.1	24.6	37.9	61.7	45.5	56.3	12.9	60.6	11.6	43.1	38.0	28.4	16.5	10.7	7.1	3.3	161.0	
81.3	24.6	5.8	0.76	5.71	23.1	9.1	0.56	0.91	38.39	70.5	31.5	24.37	7.27	12.2	14.7	11.1	12.9	4.5	4.8	6.0	7.0	2.8	3.3	3.2	30.5	50.5	38.5	50.7	73.6	82.7	92.1	14.8	101.0	13.8	89.6	77.6	50.6	30.5	28.2	10.3	6.0	153.0	
43.0	21.0	6.9	0.66	1.14	50.9	14.41	0.76	1.21	38.39	36.0	17.4	24.37	7.27	5.4	5.4	5.7	6.4	2.6	2.1	2.4	3.1	1.5	1.6	2.82	26.0	46.0	31.0	51.0	52.0	42.0	73.0	11.0	78.0	17.0	46.2	39.0	14.8	16.6	8.5	3.8	3.1	153.0	
42.0	28.0	3.7	0.9	2.1	70.0	11.0	0.8	1.6	40.0	36.0	17.0	4.4	1.9	5.4	5.2	5.7	5.6	2.7	2.0	2.6	3.3	1.5	1.4	1.9	28.0	43.0	38.0	63.0	46.0	57.0	49.0	7.0	59.0	16.0	35.0	30.0	19.0	16.0	14.0	8.0	2.8	152.0	
62.0	25.0	5.0	0.8	1.6	50.9	14.41	0.76	1.21	38.39	49.0	23.0	24.37	7.27	10.5	10.6	8.9	7.6	3.9	2.9	3.8	4.7	2.4	2.36	2.82	32.0	53.0	24.0	46.0	79.0	71.0	87.0	17.0	81.0	15.0	42.0	36.0	19.0	18.0	17.0	9.0	4.9	149.0	
47.0	20.8	5.8	0.72	1.37	40.5	8.6	0.79	1.43	45.6	37.8	13.5	10.4	2.4	5.3	5.8	5.1	5.2	2.6	1.8	2.6	3.0	1.4	1.3	2.0	27.0	37.0	30.0	48.0	63.0	54.0	67.0	7.0	72.0	12.0	35.0	36.0	12.0	16.0	13.0	7.0	2.5	140.0	
43.0	21.0	6.9	0.66	1.14	37.1	10.0	0.73	1.23	25.0	36.0	17.4	24.37	7.27	5.4	5.4	5.7	6.4	2.6	2.1	2.4	3.1	1.5	1.6	1.7	26.0	48.0	31.0	51.0	52.0	42.0	73.0	11.0	78.0	17.0	46.2	39.0	14.8	16.6	8.5	3.8	3.1	153.0	
45.2	30.0	6.6	0.78	1.42	40.8	9.7	0.76	1.3	32.0	30.7	16.5	10.6	3.24	7.2	7.0	7.0	6.9	2.9	2.5	2.7	3.2	1.6	1.7	2.4	22.0	42.0	27.0	49.0	78.0	59.0	77.0	13.0	80.0	17.0	63.0	56.0	35.0	13.0	11.0	5.0	3.2	158.0	
58.0	23.5	4.8	0.8	1.4	25.0	4.0	0.8	1.4	28.0	45.0	22.0	19.6	5.6	8.0	59.3	7.0	88.3	3.0	32.3	2.9	4.2	2.2	2.2	2.3	30.0	43.0	32.0	54.0	80.0	63.0	89.0	11.0	85.0	14.0	65.0	58.0	34.0	13.0	15.0	9.0	3.3	160.0	
50.0	18.7	1.7	0.91	1.86	50.9	14.41	0.76	1.21	38.39	44.0	21.4	24.37	7.27	8.0	11.0	8.3	10.0	4.4	3.0	3.2	5.4	2.5	2.1	2.82	25.7	47.6	13.8	28.6	73.0	45.7	79.9	9.0	65.2	11.0	46.2	41.9	17.0	16.7	14.3	9.0	4.2	155.0	
65.25	28.91	6.24	0.87	5.71	50.9	14.41	0.76	1.21	42.0	33.0	15.0	9.2	2.8	6.6	7.3	6.4	6.4	2.7	2.0	2.1	5.22	1.1	1.2	1.5	28.0	45.0	36.0	48.0	51.0	38.0	51.0	5.7	64.0	12.0	21.0	19.0	10.0	13.0	15.0	7.6	2.6	127.0	
45.0	28.0	6.3	0.77	0.43	31.0	7.0	0.7	1.3	43.0	36.0	17.0	12.0	3.4	5.7	5.9	5.4	6.1	2.9	2.1	2.6	3.2	1.6	1.5	2.0	13.0	33.0	25.0	37.0	53.0	59.0	70.0	11.0	50.0	9.0	43.0	37.0	22.0	22.9	18.17	9.22	3.5	140.0	
58.0	29.0	6.0	0.78	1.4	46.0	9.0	0.81	0.44	36.0	46.0	24.0	18.0	4.76	8.8	9.8	9.4	9.5	3.8	2.7	3.3	4.7	2.5	2.3	2.6	29.0	61.0	30.0	53.0	65.0	72.0	76.0	9.0	61.0	11.0	34.0	34.0	22.0	21.0	16.0	12.0	3.8	153.0	
43.0	28.0	5.7	0.8	1.6	53.0	9.4	0.82	1.56	29.0	31.0	17.0	7.2	2.2	4.8	5.3	4.8	4.7	2.6	1.8	2.0	2.8	2.52	2.64	2.0	19.0	38.0	26.0	38.0	62.0	51.0	69.0	62.0	69.0	8.0	53.0	48.0	18.0	16.0	10.0	6.0	3.4	147.0	
61.6	50.78	8.0	0.84	1.39	50.9	14.41	0.76	1.21	38.39	41.8	23.8	24.37	7.27	10.3	11.2	10.02	10.05	4.1	2.9	3.5	4.9	2.0	2.4	2.82	43.8	61.4	42.8	63.3	55.2	50.0	62.8	16.7	89.5	20.0	44.7	38.6	24.8	19.5	16.2	6.7	4.8	145.0	
42.0	23.5	6.1	0.74	1.3	45.1	7.6	0.8	1.5	39.0	31.0	13.5	10.5	2.3	5.6	5.7	5.2	4.9	2.5	2.3	2.4	2.9	1.1	1.2	1.7	47.0	68.0	31.0	54.0	50.0	72.0	63.0	14.0	118.0	20.0	59.0	56.0	26.0	16.0	9.0	4.0	2.4	150.0	
43.0	29.6	5.9	0.8	1.6	16.7	4.9	0.71	1.29	42.0	34.8	15.8	25.6	11.3	6.0	6.4	5.8	6.1	2.9	2.0	2.1	3.4	1.5	1.5	2.0	24.0	44.0	31.0	49.0	65.0	45.0	60.0	14.0	57.0	12.0	31.0	27.0	17.0	12.0	10.0	4.0	2.9	159.0	
46.2	19.7	4.4	0.78	5.71	50.9	14.41	0.76	1.21	38.39	34.0	16.3	24.37	7.27	7.0	8.0	7.0	7.1	3.5	2.8	2.8	3.8	1.3	0.3	2.82	14.0	41.0	19.0	36.0	43.0	45.0	82.0	13.0	61.0	11.0	26.0	22.0	14.0	17.0	11.0	6.0	3.6	165.0	
42.0	20.0	6.2	0.7	1.3	49.0	6.4	0.9	1.6	53.0	31.0	14.0	8.5	1.6	3.9	4.6	4.6	4.6	2.3	2.2	2.2	2.5	1.3	1.4	1.7	20.0	45.0	30.0	48.0	67.0	49.0	60.0	13.0	50.0	13.0	50.0	47.0	26.0	22.0	11.0	7.6	2.4	157.0	
42.5	16.7	3.1	0.82	1.95	50.9	14.41	0.76	1.21	38.39	38.1	14.7	24.37	7.27	6.1	6.6	6.4	6.5	2.3	2.2	2.6	3.3	1.5	1.3	2.82	29.0	41.0	20.0	39.5	35.0	35.5	54.0	9.8	64.1	12.5	45.8	41.4	23.2	19.3	10.9	7.4	2.9	147.0	
42.5	16.7	3.1	0.82	1.95	37.6	7.9	0.79	1.39	38.55	38.1	14.7	24.37	7.27	6.1	6.6	6.4	6.5	2.3	2.2	2.6	3.3	1.5	1.3	2.3	29.0	41.0	20.0	39.5	35.0	35.5	54.0	9.8	64.1	12.5	45.8	41.4	23.2	19.3	10.9	7.4	2.9	147.0	
